city,state,lat,lng
Topeka,KS,39.0346,-95.6955
Beaumont,TX,30.0849,-94.1451
South Lyon,MI,42.4614,-83.6526
Yuma,AZ,32.5995,-114.5491
Olathe,KS,38.8833,-94.82
Santa Maria,CA,34.9333,-120.4431
Thornton,CO,39.9197,-104.9438
Athens,GA,33.9508,-83.3689
Torrance,CA,33.8346,-118.3416
Fullerton,CA,33.8841,-117.9279
Grand Junction,CO,39.0877,-108.5673
Greeley,CO,40.4152,-104.7706
Metairie,LA,29.9977,-90.178
Las Cruces,NM,32.3265,-106.7893
Houma,LA,29.58,-90.7059
Carolina,PR,18.4054,-65.9792
Miramar,FL,25.9773,-80.3351
West Valley City,UT,40.6886,-112.0123
Orange,CA,33.8038,-117.8218
Warren,MI,42.4934,-83.027
Charleston,WV,38.3484,-81.6322
Hampton,VA,37.0551,-76.363
Elizabeth,NJ,40.6658,-74.1913
Stamford,CT,41.1039,-73.5585
Pasadena,CA,34.1597,-118.139
Racine,WI,42.7274,-87.8135
Yakima,WA,46.5923,-120.5496
Coral Springs,FL,26.2702,-80.2591
Kent,WA,47.3887,-122.2128
Bellingham,WA,48.7548,-122.469
Bloomington,IL,40.4757,-88.9703
Tyler,TX,32.3184,-95.3062
Carrollton,TX,32.989,-96.8999
Sterling Heights,MI,42.5809,-83.0305
Iowa City,IA,41.6559,-91.5303
Lehigh Acres,FL,26.612,-81.6388
Johnson City,TN,36.3406,-82.3806
Coeur d'Alene,ID,47.704,-116.7936
Dover,DE,39.161,-75.5202
Lewisville,TX,33.0454,-96.9815
Santa Clara,CA,37.3646,-121.968
Meridian,ID,43.6116,-116.3977
Temple,TX,31.1068,-97.3891
Norman,OK,35.2335,-97.3471
Kailua,HI,21.392,-157.7396
Billings,MT,45.7891,-108.5526
Arecibo,PR,18.4491,-66.7387
Abilene,TX,32.4543,-99.7384
Round Rock,TX,30.527,-97.6642
Greenville,NC,35.5943,-77.376
Pearland,TX,29.5581,-95.3218
Simi Valley,CA,34.2663,-118.749
Kenosha,WI,42.5865,-87.8773
Lynchburg,VA,37.4003,-79.1909
Waldorf,MD,38.6085,-76.9194
Clovis,CA,36.8278,-119.683
Yuba City,CA,39.1357,-121.6383
Seaside,CA,36.6224,-121.8199
Logan,UT,41.7399,-111.8422
Fort Smith,AR,35.3495,-94.3695
Rochester,MN,44.0154,-92.478
Burlington,VT,44.4876,-73.2316
Arvada,CO,39.832,-105.151
Mandeville,LA,30.3751,-90.0904
West Palm Beach,FL,26.7469,-80.132
Pueblo,CO,38.2701,-104.6114
Independence,MO,39.0871,-94.3501
Monroe,LA,32.5185,-92.0774
The Woodlands,TX,30.1738,-95.5134
Boulder,CO,40.0248,-105.2524
Berkeley,CA,37.8722,-122.276
North Charleston,SC,32.9067,-80.0722
Brandon,FL,27.9367,-82.3
Waterloo,IA,42.4918,-92.3522
Duluth,MN,46.7756,-92.1393
Cambridge,MA,42.3759,-71.1185
Richardson,TX,32.9716,-96.7093
Lowell,MA,42.6389,-71.3217
Broken Arrow,OK,36.038,-95.7806
Utica,NY,43.0962,-75.2261
Redding,CA,40.5698,-122.365
Clearwater,FL,27.979,-82.7623
St. Cloud,MN,45.534,-94.1718
Harlingen,TX,26.1916,-97.6977
Gilroy,CA,37.0046,-121.5854
West Jordan,UT,40.6024,-112.0008
League City,TX,29.4874,-95.1087
Port Arthur,TX,29.8554,-93.9264
Richmond,CA,37.9477,-122.3389
Westminster,CO,39.8837,-105.0624
Elgin,IL,42.0383,-88.324
Carlsbad,CA,33.1246,-117.2834
Pompano Beach,FL,26.2428,-80.1312
Riverview,FL,27.8227,-82.3023
Miami Gardens,FL,25.9433,-80.2426
Bend,OR,44.0563,-121.3095
Sioux City,IA,42.4959,-96.3901
Gresham,OR,45.5021,-122.4413
Murrieta,CA,33.5719,-117.1909
Saginaw,MI,43.4199,-83.9501
Everett,WA,47.9525,-122.1669
East Los Angeles,CA,34.0326,-118.1691
Jacksonville,NC,34.7289,-77.3941
Ponce,PR,18.0127,-66.6212
Temecula,CA,33.4928,-117.1315
Idaho Falls,ID,43.4871,-112.0362
Downey,CA,33.9379,-118.1311
South Fulton,GA,33.6273,-84.58
Costa Mesa,CA,33.6667,-117.9135
Menifee,CA,33.6909,-117.1849
Allen,TX,33.1088,-96.6735
Sparks,NV,39.5736,-119.7161
Leominster,MA,42.5209,-71.7717
Sugar Land,TX,29.5935,-95.6358
Eau Claire,WI,44.8197,-91.4948
San Buenaventura,CA,34.2741,-119.2314
San Tan Valley,AZ,33.1786,-111.5629
Auburn,AL,32.6087,-85.4903
Rio Rancho,NM,35.2873,-106.6982
Davie,FL,26.0789,-80.287
Chico,CA,39.7578,-121.8161
Hillsboro,OR,45.5273,-122.936
Centennial,CO,39.5926,-104.8673
Bloomington,IN,39.1637,-86.5257
Goodyear,AZ,33.2614,-112.3622
Dearborn,MI,42.3127,-83.213
Holland,MI,42.7677,-86.0984
Sandy Springs,GA,33.9366,-84.3703
West Covina,CA,34.0555,-117.9113
Jurupa Valley,CA,34.001,-117.4706
Bowling Green,KY,36.9716,-86.4378
Longview,TX,32.5193,-94.7622
Spokane Valley,WA,47.6626,-117.2346
El Monte,CA,34.0739,-118.0291
Brockton,MA,42.0821,-71.0242
Renton,WA,47.4784,-122.1918
Buckeye,AZ,33.4314,-112.6429
New Braunfels,TX,29.6994,-98.1148
Inglewood,CA,33.9566,-118.3444
Edinburg,TX,26.3196,-98.1597
